A_MARITL,A_SEX,PEAFEVER,PARENT,PENATVTY,PEFNTVTY,PEHSPNON,PEINUSYR,PEPAR1TYP,PRCITSHP,PRDTRACE,ERN_SRCE,WSAL_VAL,ANN_VAL,A_HGA
7,2,2,0,57,57,2,0,1,1,1,0,0,0,37
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,35
1,2,2,0,57,57,2,0,-1,1,1,1,34521,0,37
1,1,2,0,57,57,2,0,-1,1,1,1,41302,0,39
1,1,1,0,57,57,2,0,-1,1,1,1,62000,0,40
1,2,2,0,110,57,2,6,-1,3,1,1,45000,0,40
7,2,2,0,57,57,2,0,1,1,1,1,15000,0,40
7,2,-1,1,57,57,2,0,1,1,1,1,400,0,35
1,1,2,0,57,57,2,0,-1,1,1,1,76400,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,52191,0,43
7,1,1,0,57,57,2,0,-1,1,1,1,34000,0,40
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,2,2,0,57,57,2,0,-1,1,1,1,6000,0,39
7,2,2,0,57,57,2,0,-1,1,1,0,0,0,42
7,1,-1,2,57,57,2,0,1,1,1,0,0,0,0
1,1,2,0,57,57,2,0,-1,1,1,1,65000,0,42
1,2,2,0,57,57,2,0,-1,1,1,1,40000,0,43
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
5,1,2,0,57,57,2,0,-1,1,1,1,75000,0,41
7,2,2,0,57,57,2,0,-1,1,1,1,10000,0,39
7,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,2,2,0,57,57,2,0,-1,1,1,1,3744,0,43
7,1,2,0,57,57,2,0,-1,1,1,1,24000,0,39
4,1,1,0,57,57,2,0,-1,1,1,0,0,0,44
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,32000,0,41
7,1,2,0,57,57,2,0,1,1,1,0,0,0,39
5,2,2,0,57,57,2,0,-1,1,1,1,44000,0,40
5,1,2,0,57,57,2,0,-1,1,1,1,54000,0,39
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
5,1,2,0,57,57,2,0,1,1,1,0,0,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,34
4,2,2,0,57,57,2,0,-1,1,7,0,0,0,40
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,44
3,1,2,0,207,207,2,22,-1,4,4,1,40000,0,39
5,1,1,0,57,57,2,0,-1,1,1,0,0,0,40
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,42
1,2,2,0,57,57,2,0,-1,1,1,1,6000,3192,43
1,1,2,0,57,57,2,0,-1,1,1,1,19000,0,43
5,2,2,0,57,57,2,0,-1,1,1,1,17400,0,40
7,1,-1,2,57,57,2,0,1,1,1,0,0,0,0
7,2,-1,2,57,57,2,0,1,1,1,0,0,0,0
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,42
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
5,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,2,-1,3,57,57,2,0,-1,1,1,0,0,0,36
7,2,-1,3,57,57,2,0,-1,1,1,0,0,0,0
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,429,2,0,-1,1,1,1,21000,0,43
1,2,2,0,57,137,2,0,-1,1,1,1,8000,0,43
7,2,2,0,57,57,2,0,-1,1,1,1,10000,0,39
7,2,-1,2,57,57,2,0,1,1,1,0,0,0,0
5,1,2,0,57,57,2,0,-1,1,1,1,10000,0,44
7,1,2,0,57,57,2,0,-1,1,1,1,20000,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
5,1,1,0,57,57,2,0,-1,1,1,0,0,0,32
1,1,2,0,57,57,2,0,-1,1,1,1,180000,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,41
3,1,2,0,57,57,2,0,-1,1,1,0,0,0,40
7,2,-1,3,57,57,2,0,-1,1,1,0,0,0,0
7,2,-1,3,57,57,2,0,-1,1,1,0,0,0,0
3,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,233,233,2,10,-1,4,5,1,38000,0,43
7,1,2,0,57,57,2,0,1,1,9,1,6100,0,43
7,2,2,0,57,57,2,0,1,1,9,1,7002,0,39
5,1,1,0,57,57,2,0,-1,1,1,0,0,0,34
7,2,2,0,57,57,2,0,-1,1,1,1,18000,0,39
5,1,2,0,57,57,2,0,-1,1,1,1,19000,0,37
1,2,2,0,57,57,2,0,-1,1,1,1,60000,0,43
1,1,2,0,316,57,2,4,-1,3,4,1,85000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,200000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,22000,0,39
7,2,2,0,57,301,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,-1,1,1,1,47000,0,40
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,41
1,2,2,0,57,57,2,0,-1,1,1,1,3600,0,39
7,1,-1,1,57,57,2,0,1,1,1,1,1500,0,37
1,1,2,0,57,57,2,0,-1,1,1,1,10000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,25000,0,39
7,2,2,0,57,57,2,0,1,1,1,1,5000,0,39
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,41
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,37
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,36
7,1,2,0,57,57,2,0,1,1,1,0,0,0,35
7,1,-1,3,57,57,2,0,-1,1,1,0,0,0,36
7,1,2,0,57,57,2,0,-1,1,1,1,24000,0,40
7,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,301,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
4,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,-1,1,1,1,7000,0,39
7,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,57,2,0,-1,1,1,1,160000,0,44
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,44
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,47500,0,43
1,1,2,0,57,57,1,0,-1,1,1,1,62500,0,43
7,2,-1,1,57,57,1,0,1,1,1,0,0,0,0
7,1,-1,1,57,57,1,0,1,1,1,0,0,0,0
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,34
5,2,2,0,57,57,2,0,-1,1,1,1,38000,0,42
1,2,2,0,57,57,2,0,-1,1,1,2,0,12,42
1,1,2,0,57,57,2,0,-1,1,1,1,90000,0,39
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,46
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,46
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,43
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,2,2,0,57,57,2,0,-1,1,1,1,70000,0,46
7,1,2,0,57,57,2,0,-1,1,1,1,77000,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,55000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,49400,0,39
1,2,2,0,57,301,2,0,-1,1,1,0,0,0,39
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
7,2,2,0,57,57,2,0,-1,1,1,1,35001,0,40
